0 ," Frank Gallop (June 30, 1900 in Boston, Massachusetts – May 17, 1988 in Palm Beach, Florida) was an American radio and television personality. "
1 ," Nepal Bangladesh Bank Ltd. (Nepali: नेपाल बाङ्लादेश बैंक) also known as NBB (Nepali: एन.बी.बी.)  or NB Bank is a public owned commercial bank in Nepal.Nepal Bangladesh Bank Ltd. was established in June 1994 with an authorized capital of Rs. 240 million and Paid up capital of Rs. 60 million as a Joint Venture Bank with IFIC Bank Ltd. of Bangladesh. Its Head Office is situated at Kamaladi-28, Kathmandu.
The bank has a network of 81 branches, 6 Extension Counters, 5 Branchless banking and 60 ATM terminals. 
NB Bank also provides banking services through E-Banking, and mobile banking viz. NBBL SMART. Recently, the bank signed an agreement with Khalti Digital Wallet in Nepal to facilitate digital payments to its customers. "
2 ," This is a list of 155 species in Limnebius, a genus of minute moss beetles in the family Hydraenidae. "
3 ," Russell Halley (5 October 1862 – 6 July 1909) was a Scottish-born New Zealand cricketer who played first-class cricket for Canterbury from 1886 to 1891. "
4 ," Supplemental Arrows-B is a Unicode block containing miscellaneous arrows, arrow tails, crossing arrows used in knot descriptions, curved arrows, and harpoons. "
5 ," Robert John (born on November 10, 1961 in Birmingham, Alabama) is an American music photographer. He was the primary photographer for the hard rock band Guns N' Roses for almost two decades. "
6 ," When the Levees Broke: A Requiem in Four Acts is a 2006 documentary film directed by Spike Lee about the devastation of New Orleans, Louisiana following the failure of the levees during Hurricane Katrina.  It was filmed in late August and early September 2005, and premiered at the New Orleans Arena on August 16, 2006 and was first aired on HBO the following week. The television premiere aired in two parts on August 21 and 22, 2006 on HBO. It has been described by Sheila Nevins, chief of HBO's documentary unit, as 'one of the most important films HBO has ever made.'  The title is a reference to the blues tune 'When the Levee Breaks' by Kansas Joe McCoy and Memphis Minnie about the Great Mississippi Flood of 1927.
The documentary was screened at the 63rd Venice International Film Festival on August 31 and September 1, 2006. It won the Orizzonti Documentary Prize and one of two FIPRESCI awards. It was also shown at the 2006 Toronto International Film Festival on September 15 and September 16, 2006. It won three awards at the 59th Primetime Emmy Awards and received a Peabody Award.The documentary is based on news video footage and still photos of Katrina and its aftermath, interspersed with interviews. Interviewees include politicians, journalists, historians, engineers, and many residents of various parts of New Orleans and the surrounding areas, who give first hand accounts of their experiences with the levee failures and the aftermath.  The first installment opens with a photo and film montage of historic and recent New Orleans scenes, with a soundtrack of Louis Armstrong performing Louis Alter's 'Do You Know What It Means to Miss New Orleans'. At the end of the last episode is a similar montage with Fats Domino's 'Walking to New Orleans' on the soundtrack.
The film's original score is by Terence Blanchard, a New Orleans-born trumpeter who appears in the film, with his mother and aunt, as they return to their flooded home. Not being the first time that Terence Blanchard had worked as a composer for a film by Spike Lee, Blanchard had worked to create compositions of a more universal genre of jazz as opposed to New Orleans style jazz in order to reach masses of audiences to raise awareness of the results of New Orleans after Hurricane Katrina. In general, the music he had composed was written under the context of respecting those who were directly affected by the catastrophe and with intentions of providing contexts to allow audiences to sympathize with those affected.In the style of Michael Apted's Up series (a documentary series that interviews Apted's subjects every seven years), Lee planned to interview his featured subjects in Levees at least once more.  In August 2010, HBO aired Lee's documentary series, If God Is Willing and Da Creek Don't Rise, which chronicles how New Orleans and the Gulf Coast area have fared in the five years following Hurricane Katrina. "
7 ," Mlinsko (pronounced [ˈmliːnskɔ]) is a small settlement on the right bank of the Soča River just outside Kobarid in the Littoral region of Slovenia. "
8 ," Belmont District is a defunct district that existed briefly in Philadelphia County, Pennsylvania. The district was created on 14 April 1853 from northern Blockley Township ceased to exist and on 2 February 1854 and was incorporated into the City of Philadelphia following the passage of the Act of Consolidation, 1854.
The name Belmont is still used as a neighborhood name for the area, although it no longer refers to any legal entity. Similar name-inheritance (where the name of a former municipality lives on as a neighborhood name without formal definition) is also seen in other Philadelphia neighborhoods. "
9 ," The Cape York striped blind snake (Anilios chamodracaena) is a species of snake in the Typhlopidae family. "
